I think you are now ready., neg,1
Lit cauldrons will give you the option to cook and will allow you to combine up to five held items into a dish or elixir; while an open flame will simply cook individual (raw) foods to bring out their inherent properties., pos,1
Cooking food can bring out its healing; stamina-generating; or element-protecting properties - so cook often and wisely in order to enhance the properties of your items., neg,1
It's worth noting that you can only add one status effect to any cooked dish (and Link himself) however; so don't waste ingredients trying to make the ultimate food as it simply doesn't exist., pos,1
The only other abilities and limitations of note have to do with how you get around the world., neg,1
Stamina will rule your consecutive exertions (like swinging a weapon; running; or climbing); while your hearts and your armor will rule your ability to exist without status effects in the various environments., neg,1
As previously noted; stamina and hearts are upgraded through the completion of shrines - with four shrines equal to one of those items upgraded by one step., pos,1
Stamina upgrades at five or so chunks to a full unit; while hearts upgrade one full heart at a time (each having two halves)., neg,0.8
Keeping an eye on; upgrading; and understanding how much leeway these two variables offer if up to you and where you're at in the game; but these (along with the weather and your armor) are things you must always worry about., neg,1
Ah yes; the weather., neg,1
In Breath of the Wild; the cold or hot - when not prepared - will nip at your health; and carrying around metal objects in thunderstorms (or wooden objects in the extreme heat) can be dangerous., neg,1
You must stay vigilant as you explore; and exploration is basically the entire basis for the game so that's a 24/7 sort of gig., neg,1
That said; this isn't the kind of game you'll feel is being unfair - and you'll soon be either upgraded or trained into staying alive., neg,0.8
The sheer adventure of it all is enough to guarantee that small advancement towards the end; in one way or another., pos,1
Speaking of adventure; this isn't your typical open world playground; and you'll often find yourself coming across new bits by accident., pos,1
This is one of the biggest charms of the way the systems and environments have been meshed together; and even at eighty or more hours in - as I was when I finished the main goal - there are always new things around every corner., neg,1
Abilities; small tricks; little things; and even one-off surprises lay littered throughout every venture in Breath of the Wild; it's just that packed with possibilities., pos,1
